area,building_name,house_type,position,sigle_price,total_price,type
,绿景天玺湾项目,,大鹏新区/大鹏半岛/大鹏湾畔葵涌街道（南邻官湖路）,价格待定,,住宅
建面 92-364㎡,东海国际公寓,二居室(2)/四居室(1)/二居室(2) /四居室(1),福田区/香蜜湖/深圳福田区车公庙深南大道7888号,130000,1081-4261,商业类
建面 530-585㎡,前海金融中心,一居室(2)/一居室(2),南山区/前海/深圳南山区前海桂湾区临海大道和桂湾三路交汇处,95000,5035,写字楼
建面 138-202㎡,满京华金硕臻府,四居室(2)/四居室(2),光明区/光明/光辉大道满京华金硕臻府,50000,655-1075,住宅
建面 89-141㎡,满京华金硕华府,三居室(3)/四居室(2)/三居室(3) /四居室(2),光明区/公明/狮山三街满京华金硕华府,41000,370-627.5,住宅
建面 89-129㎡,望辰府,三居室(1)/四居室(5)/三居室(1) /四居室(5),盐田区/盐田港/中青路望辰府,32000,320-420,住宅
建面 70-113㎡,保利明玥澜岸花园,二居室(1)/三居室(3)/四居室(1)/二居室(1) /三居室(3) /四居室(1),坪山区/坪山/广东省深圳市坪山区新龙路12,30000,189-365,住宅
建面 75-112㎡,蔚蓝左岸花园,三居室(3)/四居室(1)/三居室(3) /四居室(1),坪山区/坪山/深圳坪山碧沙北路与坪山大道交汇处北侧,26000,260-444,住宅
建面 89-115㎡,中南珺悦名都,三居室(5)/四居室(2)/三居室(5) /四居室(2),宝安区/新安/深圳宝安区西乡广东省深圳市宝安区裕安二路与前进一路交汇处南侧（5/12号线灵芝地铁口E口）,73000,631-888.5,住宅
建面 90-143㎡,泰瑞府,三居室(3)/四居室(2)/五居室(1)/三居室(3) /四居室(2) /五居室(1),龙岗区/大运新城/广东省深圳市龙岗区龙飞大道,43000,400-711,住宅
建面 64-98㎡,悦千山雅园,二居室(1)/三居室(1)/四居室(2)/二居室(1) /三居室(1) /四居室(2),盐田区/盐田港/盐田港后方陆域北山道北面永安路3号,42000,250-340,住宅
,复兴世纪大厦,,福田区/华强北/福田区上步路,价格待定,,商业
,龙胜尚府,,龙华区/龙华中心/龙华区龙胜工业区北侧，东接工业西路，西临龙胜路，西北侧为龙胜公园,价格待定,,住宅
建面 91-122㎡,花样年家天下,居室(1)/三居室(1)/四居室(4)/居室(1) /三居室(1) /四居室(4),大鹏新区/大鹏半岛/葵坪路与金葵西路交汇处西南100米,37000,290,住宅
,联泰梅沙湾,,盐田区/梅沙/盐田大梅沙环梅路与海滨公园路交汇处,价格待定,,别墅
,百分百创意广场,,龙岗区/布吉街/深圳区龙岗区南湾街道下李朗平吉大道2号,价格待定,,商业
建面 45-160㎡,君临海域•润之,一居室(2)/二居室(3)/三居室(3)/一居室(2) /二居室(3) /三居室(3) ,盐田区/沙头角/盐田区海景二路与海山 东二街交汇处,35000,280-640,商业类
建面 11-169㎡,前海东岸,一居室(2)/二居室(2)/三居室(2)/一居室(2) /二居室(2) /三居室(2) ,南山区/南头/北环大道与南山大道交汇处,75000,272.5-600,住宅
,华创云轩,,龙岗区/坂田/坂雪岗大道与稼先路交汇处,53000,140,商业类
建面 40-86㎡,富驰大厦,一居室(3)/三居室(1)/一居室(3) /三居室(1),龙华区/龙华中心/龙华街道东环二路旁,38000,160-387,商业类
建面 300-350㎡,新锦安壹号公馆,五居室(1)/六居室(1)/五居室(1) /六居室(1),宝安区/宝安中心/深圳宝安区新安甲岸路,116000,3748.626-4434,住宅
,莱蒙水榭蓝湾,,大鹏新区/大鹏半岛/大鹏新区葵涌街道官湖路南侧,价格待定,,住宅
,明辉花园,,宝安区/福永/宝安福永街道宝安大道东侧（福永中学附近）,价格待定,,住宅
,海智云谷,,盐田区/沙头角/广东省深圳市盐田区深盐路,价格待定,,住宅
建面 82-180㎡,半山悦海花园,二居室(2)/三居室(4)/四居室(3)/二居室(2) /三居室(4) /四居室(3),盐田区/沙头角/沙头角梧桐山隧道口旁,45000,425.5-921,住宅
建面 78-135㎡,万福花园,二居室(2)/三居室(12)/四居室(1)/二居室(2) /三居室(12) /四居室(1),龙华区/龙华新区/广东省深圳市龙华区布龙路,55000,421-756.5,住宅
建面 84-89㎡,松茂御城,三居室(7)/三居室(7),光明区/公明/松白路与碧塘路交汇处,38000,365,住宅
,山语清晖,,福田区/梅林/福龙路山语清晖,90000,1719,住宅
,御品峦山花园,,宝安区/桃源居/宝安 西乡街道广深公路与航城大道交汇处,价格待定,,住宅
,盛意家园,,宝安区/宝安中心/宝安大道与创业一路交汇处,价格待定,,住宅
